Sample;Dataset;Known IDH status;Predicted IDH status
aml_ohsu_2022_2114_BA2952;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2115_BA2072;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2116_BA2867;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2117_BA2999;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2119_BA2718;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2120_BA2500;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2121_BA2041;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2121_BA2096;AML-OHSU-2022;;pIDH-WT
aml_ohsu_2022_2122_BA2024;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2123_BA2956;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2126_BA2082;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2128_BA2148;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2129_BA2163;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2130_BA2935;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2131_BA2590;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2133_BA2675;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2134_BA2524;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2135_BA2080;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2136_BA2004;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2138_BA2775;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2139_BA2885;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2140_BA2132;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2141_BA2789;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2143_BA2406;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2144_BA2902;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2145_BA2821;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2148_BA2595;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2149_BA3023;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2150_BA2620;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2151_BA2423;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2153_BA2088;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2153_BA3202;AML-OHSU-2022;;pIDH-MUT
aml_ohsu_2022_2156_BA2981;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2157_BA2452;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2160_BA2651;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2161_BA2903;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2162_BA2567;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2165_BA2063;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2168_BA2697;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2169_BA2756;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2170_BA2660;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2172_BA2483;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2172_BA3002;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2173_BA2245;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2175_BA2583;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2176_BA2540;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2177_BA2786;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2178_BA2843;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2179_BA2069;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2181_BA2240;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2182_BA2037;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2183_BA3040;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2184_BA2619;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2185_BA2926;AML-OHSU-2022;IDH-MUT;
aml_ohsu_2022_2186_BA2329;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2186_BA2677;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2191_BA2653;AML-OHSU-2022;IDH-WT;
aml_ohsu_2022_2192_BA2116;AML-OHSU-2022;IDH-WT;
