Sample;Dataset;Known IDH status;Predicted IDH status
BA2972R;BEATAML10-COHORT;;pIDH-WT
BA2976R;BEATAML10-COHORT;;pIDH-WT
BA2978R;BEATAML10-COHORT;;pIDH-WT
BA2981R;BEATAML10-COHORT;;pIDH-WT
BA2984R;BEATAML10-COHORT;;pIDH-MUT
BA2986R;BEATAML10-COHORT;;pIDH-WT
BA2989R;BEATAML10-COHORT;;pIDH-WT
BA2992R;BEATAML10-COHORT;;pIDH-WT
BA2993R;BEATAML10-COHORT;;pIDH-WT
BA2994R;BEATAML10-COHORT;;pIDH-WT
BA2995R;BEATAML10-COHORT;;pIDH-WT
BA2999R;BEATAML10-COHORT;;pIDH-MUT
BA3001R;BEATAML10-COHORT;;pIDH-MUT
BA3002R;BEATAML10-COHORT;;pIDH-WT
BA3004R;BEATAML10-COHORT;;pIDH-WT
BA3006R;BEATAML10-COHORT;;pIDH-WT
BA3008R;BEATAML10-COHORT;;pIDH-WT
BA3009R;BEATAML10-COHORT;;pIDH-WT
BA3010R;BEATAML10-COHORT;;pIDH-WT
BA3011R;BEATAML10-COHORT;;pIDH-WT
BA3013R;BEATAML10-COHORT;;pIDH-WT
BA3023R;BEATAML10-COHORT;;pIDH-WT
BA3025R;BEATAML10-COHORT;;pIDH-WT
BA3027R;BEATAML10-COHORT;;pIDH-WT
BA3029R;BEATAML10-COHORT;;pIDH-WT
BA3037R;BEATAML10-COHORT;;pIDH-WT
BA3038R;BEATAML10-COHORT;;pIDH-WT
BA3040R;BEATAML10-COHORT;;pIDH-WT
BA3042R;BEATAML10-COHORT;;pIDH-WT
BA3043R;BEATAML10-COHORT;;pIDH-WT
BA3049R;BEATAML10-COHORT;;pIDH-WT
BA3051R;BEATAML10-COHORT;;pIDH-WT
BA3053R;BEATAML10-COHORT;;pIDH-WT
BA3064R;BEATAML10-COHORT;;pIDH-WT
BA3067R;BEATAML10-COHORT;;pIDH-WT
BA3068R;BEATAML10-COHORT;;pIDH-WT
BA3070R;BEATAML10-COHORT;;pIDH-MUT
BA3071R;BEATAML10-COHORT;;pIDH-MUT
BA3072R;BEATAML10-COHORT;;pIDH-MUT
BA3073R;BEATAML10-COHORT;;pIDH-WT
BA3075R;BEATAML10-COHORT;;pIDH-WT
BA3076R;BEATAML10-COHORT;;pIDH-WT
BA3077R;BEATAML10-COHORT;;pIDH-WT
GSM2835244;GSE106291;IDH-WT;
GSM2835245;GSE106291;IDH-WT;
GSM2835246;GSE106291;IDH-WT;
GSM2835247;GSE106291;IDH-MUT;
GSM2835248;GSE106291;IDH-WT;
GSM2835249;GSE106291;IDH-WT;
GSM2835250;GSE106291;IDH-WT;
GSM2835251;GSE106291;IDH-WT;
GSM2835252;GSE106291;IDH-WT;
GSM2835253;GSE106291;IDH-WT;
GSM2835254;GSE106291;IDH-MUT;
GSM2835255;GSE106291;IDH-WT;
GSM2835256;GSE106291;IDH-WT;
GSM2835257;GSE106291;IDH-WT;
GSM2835258;GSE106291;IDH-WT;
GSM2835259;GSE106291;IDH-WT;
GSM2835260;GSE106291;IDH-WT;
GSM2835261;GSE106291;IDH-WT;
GSM2835262;GSE106291;IDH-WT;
GSM2835263;GSE106291;IDH-WT;
GSM2835264;GSE106291;IDH-MUT;
GSM2835265;GSE106291;IDH-WT;
GSM2835266;GSE106291;IDH-MUT;
GSM2835267;GSE106291;IDH-MUT;
GSM2835268;GSE106291;IDH-WT;
GSM2835269;GSE106291;IDH-WT;
GSM2835270;GSE106291;IDH-WT;
GSM2835271;GSE106291;IDH-MUT;
GSM2835272;GSE106291;IDH-WT;
GSM2835273;GSE106291;IDH-WT;
GSM2835274;GSE106291;IDH-WT;
GSM2835275;GSE106291;IDH-WT;
GSM2835276;GSE106291;IDH-WT;
GSM2835277;GSE106291;IDH-WT;
GSM2835278;GSE106291;IDH-WT;
GSM2835279;GSE106291;IDH-WT;
GSM2835280;GSE106291;IDH-WT;
GSM2835281;GSE106291;IDH-WT;
GSM2835282;GSE106291;IDH-MUT;
GSM2835283;GSE106291;IDH-WT;
GSM2835284;GSE106291;IDH-WT;
GSM2835285;GSE106291;IDH-WT;
GSM2835286;GSE106291;IDH-WT;
GSM2835287;GSE106291;IDH-WT;
GSM2835288;GSE106291;IDH-WT;
GSM2835289;GSE106291;IDH-WT;
GSM2835290;GSE106291;IDH-MUT;
GSM2835291;GSE106291;IDH-MUT;
GSM2835292;GSE106291;IDH-WT;
GSM2835293;GSE106291;IDH-WT;
GSM2835294;GSE106291;IDH-WT;
GSM2835295;GSE106291;IDH-WT;
GSM2835296;GSE106291;IDH-WT;
GSM2835297;GSE106291;IDH-WT;
GSM2835298;GSE106291;IDH-WT;
GSM2835299;GSE106291;IDH-WT;
GSM2835300;GSE106291;IDH-WT;
GSM2835301;GSE106291;IDH-WT;
GSM2835302;GSE106291;IDH-WT;
GSM2835303;GSE106291;IDH-WT;
GSM2835304;GSE106291;IDH-WT;
GSM2835305;GSE106291;IDH-WT;
GSM2835306;GSE106291;IDH-WT;
GSM2835307;GSE106291;IDH-WT;
GSM2835308;GSE106291;IDH-WT;
GSM2835309;GSE106291;IDH-WT;
GSM2835310;GSE106291;IDH-MUT;
GSM2835311;GSE106291;IDH-WT;
GSM2835312;GSE106291;IDH-WT;
GSM2835313;GSE106291;IDH-WT;
GSM2835314;GSE106291;IDH-WT;
GSM2835315;GSE106291;IDH-WT;
GSM2835316;GSE106291;IDH-MUT;
GSM2835317;GSE106291;IDH-WT;
GSM2835318;GSE106291;IDH-WT;
GSM2835319;GSE106291;IDH-WT;
GSM2835320;GSE106291;IDH-MUT;
GSM2835321;GSE106291;IDH-MUT;
GSM2835322;GSE106291;IDH-WT;
GSM2835323;GSE106291;IDH-WT;
GSM2835324;GSE106291;IDH-WT;
GSM2835325;GSE106291;;pIDH-WT
GSM2835326;GSE106291;IDH-WT;
GSM2835327;GSE106291;IDH-WT;
GSM2835328;GSE106291;IDH-WT;
GSM2835329;GSE106291;IDH-WT;
GSM2835330;GSE106291;IDH-WT;
GSM2835331;GSE106291;IDH-WT;
GSM2835332;GSE106291;IDH-WT;
GSM2835333;GSE106291;IDH-WT;
GSM2835334;GSE106291;IDH-MUT;
GSM2835335;GSE106291;IDH-WT;
GSM2835336;GSE106291;IDH-WT;
GSM2835337;GSE106291;IDH-MUT;
GSM2835338;GSE106291;IDH-WT;
GSM2835339;GSE106291;IDH-WT;
GSM2835340;GSE106291;IDH-WT;
GSM2835341;GSE106291;IDH-WT;
GSM2835342;GSE106291;IDH-WT;
GSM2835343;GSE106291;IDH-WT;
GSM2835344;GSE106291;IDH-WT;
GSM2835345;GSE106291;IDH-WT;
GSM2835346;GSE106291;IDH-WT;
GSM2835347;GSE106291;IDH-WT;
GSM2835348;GSE106291;IDH-WT;
GSM2835349;GSE106291;IDH-WT;
GSM2835350;GSE106291;IDH-MUT;
GSM2835351;GSE106291;IDH-WT;
GSM2835352;GSE106291;IDH-WT;
GSM2835353;GSE106291;IDH-WT;
GSM2835354;GSE106291;IDH-WT;
GSM2835355;GSE106291;IDH-WT;
GSM2835356;GSE106291;IDH-WT;
GSM2835357;GSE106291;IDH-WT;
GSM2835358;GSE106291;IDH-WT;
GSM2835359;GSE106291;IDH-MUT;
GSM2835360;GSE106291;IDH-MUT;
GSM2835361;GSE106291;IDH-WT;
GSM2835362;GSE106291;IDH-MUT;
GSM2835363;GSE106291;IDH-WT;
GSM2835364;GSE106291;IDH-WT;
GSM2835365;GSE106291;IDH-MUT;
GSM2835366;GSE106291;IDH-WT;
GSM2835367;GSE106291;IDH-WT;
GSM2835368;GSE106291;IDH-MUT;
GSM2835369;GSE106291;IDH-WT;
GSM2835370;GSE106291;IDH-WT;
GSM2835371;GSE106291;IDH-WT;
GSM2835372;GSE106291;IDH-WT;
GSM2835373;GSE106291;IDH-MUT;
GSM2835374;GSE106291;IDH-WT;
GSM2835375;GSE106291;IDH-WT;
GSM2835376;GSE106291;IDH-WT;
GSM2835377;GSE106291;IDH-WT;
GSM2835378;GSE106291;IDH-WT;
GSM2835379;GSE106291;IDH-WT;
GSM2835380;GSE106291;IDH-MUT;
GSM2835381;GSE106291;IDH-MUT;
GSM2835382;GSE106291;IDH-WT;
GSM2835383;GSE106291;IDH-WT;
GSM2835384;GSE106291;IDH-MUT;
GSM2835385;GSE106291;IDH-WT;
GSM2835386;GSE106291;IDH-WT;
GSM2835387;GSE106291;IDH-WT;
GSM2835388;GSE106291;IDH-WT;
GSM2835389;GSE106291;IDH-WT;
GSM2835390;GSE106291;IDH-MUT;
GSM2835391;GSE106291;IDH-WT;
GSM2835392;GSE106291;IDH-MUT;
GSM2835393;GSE106291;IDH-MUT;
GSM2835394;GSE106291;IDH-MUT;
GSM2835395;GSE106291;IDH-WT;
GSM2835396;GSE106291;IDH-WT;
GSM2835397;GSE106291;IDH-MUT;
GSM2835398;GSE106291;IDH-MUT;
GSM2835399;GSE106291;IDH-WT;
GSM2835400;GSE106291;IDH-WT;
GSM2835401;GSE106291;IDH-WT;
GSM2835402;GSE106291;IDH-WT;
GSM2835403;GSE106291;IDH-WT;
GSM2835404;GSE106291;IDH-WT;
GSM2835405;GSE106291;IDH-WT;
GSM2835406;GSE106291;IDH-MUT;
GSM2835407;GSE106291;IDH-WT;
GSM2835408;GSE106291;IDH-WT;
GSM2835409;GSE106291;IDH-MUT;
GSM2835410;GSE106291;IDH-WT;
GSM2835411;GSE106291;IDH-WT;
GSM2835412;GSE106291;IDH-WT;
GSM2835413;GSE106291;IDH-WT;
GSM2835414;GSE106291;IDH-MUT;
GSM2835415;GSE106291;IDH-WT;
GSM2835416;GSE106291;IDH-WT;
GSM2835417;GSE106291;IDH-WT;
GSM2835418;GSE106291;IDH-WT;
GSM2835419;GSE106291;IDH-MUT;
GSM2835420;GSE106291;IDH-WT;
GSM2835421;GSE106291;IDH-MUT;
GSM2835422;GSE106291;IDH-WT;
GSM2835423;GSE106291;IDH-MUT;
GSM2835424;GSE106291;IDH-MUT;
GSM2835425;GSE106291;IDH-WT;
GSM2835426;GSE106291;IDH-MUT;
GSM2835427;GSE106291;IDH-WT;
GSM2835428;GSE106291;IDH-MUT;
GSM2835429;GSE106291;IDH-WT;
GSM2835430;GSE106291;IDH-WT;
GSM2835431;GSE106291;IDH-WT;
GSM2835432;GSE106291;IDH-WT;
GSM2835433;GSE106291;IDH-WT;
GSM2835434;GSE106291;IDH-WT;
GSM2835435;GSE106291;IDH-WT;
GSM2835436;GSE106291;IDH-WT;
GSM2835437;GSE106291;IDH-WT;
GSM2835438;GSE106291;IDH-WT;
GSM2835439;GSE106291;IDH-WT;
GSM2835440;GSE106291;IDH-WT;
GSM2835441;GSE106291;IDH-WT;
GSM2835442;GSE106291;IDH-WT;
GSM2835443;GSE106291;IDH-MUT;
GSM2835444;GSE106291;IDH-WT;
GSM2835445;GSE106291;IDH-MUT;
GSM2835446;GSE106291;IDH-MUT;
GSM2835447;GSE106291;IDH-WT;
GSM2835448;GSE106291;IDH-WT;
GSM2835449;GSE106291;IDH-WT;
GSM2835450;GSE106291;IDH-WT;
GSM2835451;GSE106291;IDH-WT;
GSM2835452;GSE106291;IDH-WT;
GSM2835453;GSE106291;IDH-WT;
GSM2835454;GSE106291;IDH-WT;
GSM2835455;GSE106291;IDH-WT;
GSM2835456;GSE106291;IDH-WT;
GSM2835457;GSE106291;IDH-WT;
GSM2835458;GSE106291;IDH-WT;
GSM2835459;GSE106291;IDH-WT;
GSM2835460;GSE106291;IDH-WT;
GSM2835461;GSE106291;IDH-WT;
GSM2835462;GSE106291;IDH-MUT;
GSM2835463;GSE106291;IDH-WT;
GSM2835464;GSE106291;IDH-WT;
GSM2835465;GSE106291;IDH-MUT;
GSM2835466;GSE106291;IDH-WT;
GSM2835467;GSE106291;IDH-WT;
GSM2835468;GSE106291;IDH-WT;
GSM2835469;GSE106291;IDH-WT;
GSM2835470;GSE106291;IDH-WT;
GSM2835471;GSE106291;IDH-WT;
GSM2835472;GSE106291;IDH-WT;
GSM2835473;GSE106291;IDH-WT;
GSM2835474;GSE106291;IDH-MUT;
GSM2835475;GSE106291;IDH-MUT;
GSM2835476;GSE106291;IDH-WT;
GSM2835477;GSE106291;IDH-WT;
GSM2835478;GSE106291;IDH-WT;
GSM2835479;GSE106291;IDH-WT;
GSM2835480;GSE106291;IDH-WT;
GSM2835481;GSE106291;IDH-WT;
GSM2835482;GSE106291;;pIDH-MUT
GSM2835483;GSE106291;;pIDH-WT
GSM2835484;GSE106291;;pIDH-WT
GSM2835485;GSE106291;;pIDH-WT
GSM2835486;GSE106291;;pIDH-WT
GSM2835487;GSE106291;;pIDH-MUT
GSM2835488;GSE106291;;pIDH-WT
GSM2835489;GSE106291;;pIDH-WT
GSM2835490;GSE106291;;pIDH-WT
GSM2835491;GSE106291;;pIDH-WT
GSM2835492;GSE106291;;pIDH-MUT
GSM2835493;GSE106291;;pIDH-WT
GSM3036937;GSE111678;;pIDH-MUT
GSM3036938;GSE111678;;pIDH-MUT
GSM3036939;GSE111678;;pIDH-MUT
GSM3036940;GSE111678;;pIDH-MUT
GSM3036941;GSE111678;;pIDH-WT
GSM3036942;GSE111678;;pIDH-WT
GSM3036943;GSE111678;;pIDH-WT
GSM3036944;GSE111678;;pIDH-WT
GSM3036945;GSE111678;;pIDH-WT
GSM3036946;GSE111678;;pIDH-WT
GSM3036947;GSE111678;;pIDH-WT
GSM3036948;GSE111678;;pIDH-WT
GSM3036949;GSE111678;;pIDH-WT
GSM3036950;GSE111678;;pIDH-WT
GSM3036951;GSE111678;;pIDH-WT
GSM3036952;GSE111678;;pIDH-WT
GSM3036953;GSE111678;;pIDH-WT
GSM3036954;GSE111678;;pIDH-MUT
GSM3036955;GSE111678;;pIDH-WT
GSM3036956;GSE111678;;pIDH-WT
GSM3036957;GSE111678;;pIDH-MUT
GSM3036958;GSE111678;;pIDH-WT
GSM3036959;GSE111678;;pIDH-WT
GSM3036960;GSE111678;;pIDH-WT
GSM3036961;GSE111678;;pIDH-WT
GSM3036962;GSE111678;;pIDH-MUT
GSM3036963;GSE111678;;pIDH-WT
GSM3036964;GSE111678;;pIDH-WT
GSM3036965;GSE111678;;pIDH-MUT
GSM3036966;GSE111678;;pIDH-WT
GSM3036967;GSE111678;;pIDH-WT
GSM3036968;GSE111678;;pIDH-WT
GSM3036969;GSE111678;;pIDH-WT
GSM3036970;GSE111678;;pIDH-WT
GSM3036971;GSE111678;;pIDH-WT
GSM3036972;GSE111678;;pIDH-WT
GSM3036973;GSE111678;;pIDH-WT
GSM3036974;GSE111678;;pIDH-WT
GSM3036975;GSE111678;;pIDH-WT
GSM3036976;GSE111678;;pIDH-WT
GSM3036977;GSE111678;;pIDH-WT
GSM3036978;GSE111678;;pIDH-WT
GSM3036979;GSE111678;;pIDH-WT
GSM3036980;GSE111678;;pIDH-MUT
GSM3036981;GSE111678;;pIDH-MUT
GSM3036982;GSE111678;;pIDH-WT
GSM3036983;GSE111678;;pIDH-WT
GSM3036984;GSE111678;;pIDH-MUT
GSM3036985;GSE111678;;pIDH-WT
GSM3036986;GSE111678;;pIDH-WT
GSM3036987;GSE111678;;pIDH-WT
GSM3036988;GSE111678;;pIDH-WT
GSM3036989;GSE111678;;pIDH-MUT
GSM3036990;GSE111678;;pIDH-MUT
GSM3036991;GSE111678;;pIDH-WT
GSM3036992;GSE111678;;pIDH-WT
GSM3036993;GSE111678;;pIDH-WT
GSM3036994;GSE111678;;pIDH-WT
GSM3036995;GSE111678;;pIDH-WT
GSM3036996;GSE111678;;pIDH-WT
GSM3036997;GSE111678;;pIDH-WT
GSM3036998;GSE111678;;pIDH-MUT
GSM3036999;GSE111678;;pIDH-WT
GSM3037000;GSE111678;;pIDH-WT
GSM3037001;GSE111678;;pIDH-WT
GSM3037002;GSE111678;;pIDH-WT
GSM3037003;GSE111678;;pIDH-WT
GSM3037004;GSE111678;;pIDH-WT
GSM3037005;GSE111678;;pIDH-WT
GSM3037006;GSE111678;;pIDH-WT
GSM3037007;GSE111678;;pIDH-WT
GSM3037008;GSE111678;;pIDH-WT
GSM3037009;GSE111678;;pIDH-WT
GSM3037010;GSE111678;;pIDH-MUT
GSM3037011;GSE111678;;pIDH-WT
GSM3037012;GSE111678;;pIDH-MUT
GSM3037013;GSE111678;;pIDH-WT
GSM3037014;GSE111678;;pIDH-WT
GSM3037015;GSE111678;;pIDH-WT
GSM3037016;GSE111678;;pIDH-WT
GSM3037017;GSE111678;;pIDH-WT
GSM3037018;GSE111678;;pIDH-WT
GSM3037019;GSE111678;;pIDH-WT
GSM3037020;GSE111678;;pIDH-WT
GSM3037021;GSE111678;;pIDH-WT
GSM3037022;GSE111678;;pIDH-WT
GSM3037023;GSE111678;;pIDH-WT
GSM3037024;GSE111678;;pIDH-MUT
GSM3037025;GSE111678;;pIDH-MUT
GSM3037026;GSE111678;;pIDH-WT
GSM3037027;GSE111678;;pIDH-WT
GSM3037028;GSE111678;;pIDH-WT
GSM3037029;GSE111678;;pIDH-MUT
GSM3037030;GSE111678;;pIDH-WT
GSM3037031;GSE111678;;pIDH-WT
GSM3037032;GSE111678;;pIDH-WT
GSM3037033;GSE111678;;pIDH-WT
GSM3037034;GSE111678;;pIDH-WT
GSM3037035;GSE111678;;pIDH-WT
GSM3037036;GSE111678;;pIDH-WT
GSM3037037;GSE111678;;pIDH-MUT
GSM3037038;GSE111678;;pIDH-MUT
GSM3037039;GSE111678;;pIDH-WT
GSM3037040;GSE111678;;pIDH-MUT
GSM3037041;GSE111678;;pIDH-WT
GSM3037042;GSE111678;;pIDH-WT
GSM3037043;GSE111678;;pIDH-WT
GSM3037044;GSE111678;;pIDH-WT
GSM3037045;GSE111678;;pIDH-WT
GSM3037046;GSE111678;;pIDH-WT
GSM3037047;GSE111678;;pIDH-WT
GSM3037048;GSE111678;;pIDH-WT
GSM3037049;GSE111678;;pIDH-MUT
GSM3037050;GSE111678;;pIDH-WT
GSM3037051;GSE111678;;pIDH-MUT
GSM3037052;GSE111678;;pIDH-WT
GSM3037053;GSE111678;;pIDH-WT
GSM3037054;GSE111678;;pIDH-WT
GSM3037055;GSE111678;;pIDH-MUT
GSM3037056;GSE111678;;pIDH-WT
GSM3037057;GSE111678;;pIDH-WT
GSM3037058;GSE111678;;pIDH-MUT
GSM3037059;GSE111678;;pIDH-MUT
GSM3037060;GSE111678;;pIDH-MUT
GSM3037061;GSE111678;;pIDH-WT
GSM3037062;GSE111678;;pIDH-WT
GSM3037063;GSE111678;;pIDH-WT
GSM3037064;GSE111678;;pIDH-WT
GSM3037065;GSE111678;;pIDH-MUT
GSM3037066;GSE111678;;pIDH-WT
GSM3037067;GSE111678;;pIDH-WT
GSM3037068;GSE111678;;pIDH-WT
GSM3037069;GSE111678;;pIDH-WT
GSM3037070;GSE111678;;pIDH-WT
GSM3037071;GSE111678;;pIDH-WT
GSM3037072;GSE111678;;pIDH-MUT
GSM3037073;GSE111678;;pIDH-WT
GSM3037074;GSE111678;;pIDH-WT
GSM3037075;GSE111678;;pIDH-WT
GSM3037076;GSE111678;;pIDH-MUT
GSM3037077;GSE111678;;pIDH-MUT
GSM3037078;GSE111678;;pIDH-WT
GSM3037079;GSE111678;;pIDH-WT
GSM3037080;GSE111678;;pIDH-WT
GSM3037081;GSE111678;;pIDH-WT
GSM3037082;GSE111678;;pIDH-WT
GSM3037083;GSE111678;;pIDH-WT
GSM3037084;GSE111678;;pIDH-MUT
GSM3037085;GSE111678;;pIDH-WT
GSM3037086;GSE111678;;pIDH-WT
GSM3037087;GSE111678;;pIDH-WT
GSM3037088;GSE111678;;pIDH-WT
GSM3037089;GSE111678;;pIDH-WT
GSM3037090;GSE111678;;pIDH-MUT
GSM3037091;GSE111678;;pIDH-WT
GSM3037092;GSE111678;;pIDH-WT
GSM3037093;GSE111678;;pIDH-WT
GSM3037094;GSE111678;;pIDH-WT
GSM3037095;GSE111678;;pIDH-WT
GSM3037096;GSE111678;;pIDH-WT
GSM3037097;GSE111678;;pIDH-MUT
GSM3037098;GSE111678;;pIDH-WT
GSM3037099;GSE111678;;pIDH-WT
GSM3037100;GSE111678;;pIDH-WT
GSM3037101;GSE111678;;pIDH-WT
GSM3037102;GSE111678;;pIDH-WT
GSM3037103;GSE111678;;pIDH-WT
GSM3037104;GSE111678;;pIDH-WT
GSM3037105;GSE111678;;pIDH-WT
GSM3037106;GSE111678;;pIDH-WT
GSM3037107;GSE111678;;pIDH-WT
GSM3037108;GSE111678;;pIDH-MUT
GSM3037109;GSE111678;;pIDH-WT
GSM3037110;GSE111678;;pIDH-WT
GSM3037111;GSE111678;;pIDH-WT
GSM3037112;GSE111678;;pIDH-WT
GSM3037113;GSE111678;;pIDH-MUT
GSM3037114;GSE111678;;pIDH-WT
GSM3037115;GSE111678;;pIDH-WT
GSM3037116;GSE111678;;pIDH-MUT
GSM3037117;GSE111678;;pIDH-WT
GSM3037118;GSE111678;;pIDH-WT
GSM3037119;GSE111678;;pIDH-WT
GSM3037120;GSE111678;;pIDH-WT
GSM3037121;GSE111678;;pIDH-WT
GSM3037122;GSE111678;;pIDH-WT
GSM3037123;GSE111678;;pIDH-WT
GSM3037124;GSE111678;;pIDH-WT
GSM3037125;GSE111678;;pIDH-WT
GSM3037126;GSE111678;;pIDH-MUT
GSM3037127;GSE111678;;pIDH-WT
GSM3037128;GSE111678;;pIDH-WT
GSM3037129;GSE111678;;pIDH-WT
GSM3037130;GSE111678;;pIDH-WT
GSM3037131;GSE111678;;pIDH-WT
GSM3037132;GSE111678;;pIDH-WT
GSM3037133;GSE111678;;pIDH-WT
GSM3037134;GSE111678;;pIDH-WT
GSM3037135;GSE111678;;pIDH-MUT
GSM3037136;GSE111678;;pIDH-WT
GSM3037137;GSE111678;;pIDH-MUT
GSM3037138;GSE111678;;pIDH-WT
GSM3037139;GSE111678;;pIDH-WT
GSM3037140;GSE111678;;pIDH-MUT
GSM3037141;GSE111678;;pIDH-WT
GSM3037142;GSE111678;;pIDH-WT
GSM3037143;GSE111678;;pIDH-WT
GSM3037144;GSE111678;;pIDH-WT
GSM3037145;GSE111678;;pIDH-WT
GSM3037146;GSE111678;;pIDH-MUT
GSM3037147;GSE111678;;pIDH-WT
GSM3037148;GSE111678;;pIDH-WT
GSM3037149;GSE111678;;pIDH-WT
GSM3037150;GSE111678;;pIDH-MUT
GSM3037151;GSE111678;;pIDH-WT
GSM3037152;GSE111678;;pIDH-WT
GSM3037153;GSE111678;;pIDH-WT
GSM3037154;GSE111678;;pIDH-MUT
GSM3037155;GSE111678;;pIDH-WT
GSM3037156;GSE111678;;pIDH-MUT
GSM3037157;GSE111678;;pIDH-MUT
GSM3037158;GSE111678;;pIDH-WT
GSM3037159;GSE111678;;pIDH-WT
GSM3037160;GSE111678;;pIDH-WT
GSM3037161;GSE111678;;pIDH-WT
GSM3037162;GSE111678;;pIDH-WT
GSM3037163;GSE111678;;pIDH-WT
GSM3037164;GSE111678;;pIDH-WT
GSM3037165;GSE111678;;pIDH-WT
GSM3037166;GSE111678;;pIDH-WT
GSM3037167;GSE111678;;pIDH-WT
GSM3037168;GSE111678;;pIDH-WT
GSM3037169;GSE111678;;pIDH-WT
GSM3037170;GSE111678;;pIDH-WT
GSM3037171;GSE111678;;pIDH-WT
GSM3037172;GSE111678;;pIDH-WT
GSM3037173;GSE111678;;pIDH-MUT
GSM3037174;GSE111678;;pIDH-MUT
GSM3037175;GSE111678;;pIDH-WT
GSM3037176;GSE111678;;pIDH-WT
GSM3037177;GSE111678;;pIDH-WT
GSM3037178;GSE111678;;pIDH-WT
GSM3037179;GSE111678;;pIDH-WT
GSM3037180;GSE111678;;pIDH-WT
GSM3037181;GSE111678;;pIDH-WT
GSM3037182;GSE111678;;pIDH-WT
GSM3037183;GSE111678;;pIDH-WT
GSM3037184;GSE111678;;pIDH-WT
GSM3037185;GSE111678;;pIDH-MUT
GSM3037186;GSE111678;;pIDH-WT
GSM3037187;GSE111678;;pIDH-WT
GSM3037188;GSE111678;;pIDH-WT
GSM3037189;GSE111678;;pIDH-WT
GSM3037190;GSE111678;;pIDH-WT
GSM3037191;GSE111678;;pIDH-WT
GSM3037192;GSE111678;;pIDH-WT
GSM3037193;GSE111678;;pIDH-WT
GSM3037194;GSE111678;;pIDH-WT
GSM3037195;GSE111678;;pIDH-WT
GSM3037196;GSE111678;;pIDH-MUT
GSM19382;GSE1159;;pIDH-WT
GSM19383;GSE1159;;pIDH-WT
GSM20684;GSE1159;;pIDH-WT
GSM20685;GSE1159;;pIDH-WT
GSM20686;GSE1159;;pIDH-WT
GSM20687;GSE1159;;pIDH-WT
GSM20688;GSE1159;;pIDH-WT
GSM20689;GSE1159;;pIDH-WT
GSM20690;GSE1159;;pIDH-WT
GSM20691;GSE1159;;pIDH-WT
GSM20692;GSE1159;;pIDH-WT
GSM20693;GSE1159;;pIDH-WT
GSM20694;GSE1159;;pIDH-WT
GSM20695;GSE1159;;pIDH-WT
GSM20696;GSE1159;;pIDH-WT
GSM20697;GSE1159;;pIDH-WT
GSM20698;GSE1159;;pIDH-WT
GSM20699;GSE1159;;pIDH-WT
GSM20700;GSE1159;;pIDH-MUT
GSM20701;GSE1159;;pIDH-WT
GSM20702;GSE1159;;pIDH-WT
GSM20703;GSE1159;;pIDH-WT
GSM20704;GSE1159;;pIDH-WT
GSM20705;GSE1159;;pIDH-MUT
GSM20706;GSE1159;;pIDH-WT
GSM20707;GSE1159;;pIDH-MUT
GSM20708;GSE1159;;pIDH-WT
GSM20709;GSE1159;;pIDH-WT
GSM20710;GSE1159;;pIDH-MUT
GSM20711;GSE1159;;pIDH-MUT
GSM20712;GSE1159;;pIDH-WT
GSM20713;GSE1159;;pIDH-WT
GSM20714;GSE1159;;pIDH-MUT
GSM20715;GSE1159;;pIDH-WT
GSM20716;GSE1159;;pIDH-WT
GSM20717;GSE1159;;pIDH-MUT
GSM20718;GSE1159;;pIDH-WT
GSM20719;GSE1159;;pIDH-WT
GSM20720;GSE1159;;pIDH-WT
GSM20721;GSE1159;;pIDH-WT
GSM20722;GSE1159;;pIDH-WT
GSM20723;GSE1159;;pIDH-WT
GSM20724;GSE1159;;pIDH-WT
GSM20725;GSE1159;;pIDH-WT
GSM20726;GSE1159;;pIDH-WT
GSM20727;GSE1159;;pIDH-WT
GSM20728;GSE1159;;pIDH-WT
GSM20729;GSE1159;;pIDH-WT
GSM20730;GSE1159;;pIDH-WT
GSM20731;GSE1159;;pIDH-WT
GSM20732;GSE1159;;pIDH-WT
GSM20733;GSE1159;;pIDH-WT
GSM20734;GSE1159;;pIDH-WT
GSM20735;GSE1159;;pIDH-WT
GSM20736;GSE1159;;pIDH-WT
GSM20737;GSE1159;;pIDH-WT
GSM20738;GSE1159;;pIDH-WT
GSM20739;GSE1159;;pIDH-WT
GSM20740;GSE1159;;pIDH-WT
GSM20741;GSE1159;;pIDH-WT
GSM20742;GSE1159;;pIDH-WT
GSM20743;GSE1159;;pIDH-WT
GSM20744;GSE1159;;pIDH-WT
GSM20745;GSE1159;;pIDH-WT
GSM20746;GSE1159;;pIDH-MUT
GSM20747;GSE1159;;pIDH-WT
GSM20748;GSE1159;;pIDH-WT
GSM20749;GSE1159;;pIDH-WT
GSM20750;GSE1159;;pIDH-WT
GSM20751;GSE1159;;pIDH-WT
GSM20752;GSE1159;;pIDH-WT
GSM20753;GSE1159;;pIDH-WT
GSM20754;GSE1159;;pIDH-WT
GSM20755;GSE1159;;pIDH-MUT
GSM20756;GSE1159;;pIDH-WT
GSM20757;GSE1159;;pIDH-WT
GSM20758;GSE1159;;pIDH-WT
GSM20759;GSE1159;;pIDH-WT
GSM20760;GSE1159;;pIDH-WT
GSM20761;GSE1159;;pIDH-WT
GSM20762;GSE1159;;pIDH-WT
